,conf,remainingDetections,remainingDetectionsP,remainingIds,remainingIdsP
0,0.0,1056033,100.0,4093,99.9267578125
1,1.0,1048626,99.29860146415879,4093,99.9267578125
2,2.0,1034777,97.9871841126177,4093,99.9267578125
3,3.0,1028480,97.39089592844164,4092,99.90234375
4,4.0,1022431,96.81809185887184,4091,99.8779296875
5,5.0,1016785,96.28344947553722,4091,99.8779296875
6,6.0,1006182,95.2794088821088,4091,99.8779296875
7,7.000000000000001,1001090,94.79722698059625,4091,99.8779296875
8,8.0,996372,94.35046063901412,4090,99.853515625
9,9.0,991831,93.92045513729211,4090,99.853515625
10,10.0,983140,93.09746949195716,4088,99.8046875
11,11.0,978994,92.70486812438627,4086,99.755859375
12,12.0,975056,92.33196311100127,4085,99.7314453125
13,13.0,967476,91.61418251134198,4084,99.70703125
14,14.000000000000002,963795,91.26561385865783,4079,99.5849609375
15,15.0,960324,90.93693094818059,4077,99.5361328125
16,16.0,956828,90.60588068744065,4075,99.4873046875
17,17.0,950109,89.96963163082971,4073,99.4384765625
18,18.0,946971,89.67248182585203,4071,99.3896484375
19,19.0,943832,89.37523732686384,4070,99.365234375
20,20.0,937889,88.812470822408,4065,99.2431640625
21,21.0,934806,88.52052918800834,4062,99.169921875
22,22.0,931873,88.24279165518502,4056,99.0234375
23,23.0,929027,87.973292501276,4049,98.8525390625
24,24.0,923431,87.44338481846685,4039,98.6083984375
25,25.0,920769,87.19130936249151,4037,98.5595703125
26,26.0,918077,86.93639308620091,4033,98.4619140625
27,27.0,915382,86.68119272787877,4029,98.3642578125
28,28.000000000000004,910433,86.21255206986903,4023,98.2177734375
29,28.999999999999996,907895,85.97221867119683,4016,98.046875
30,30.0,905419,85.73775630117619,4012,97.94921875
31,31.0,900469,85.26902094915594,4000,97.65625
32,32.0,898008,85.03597898929294,3996,97.55859375
33,33.0,895572,84.80530437969269,3992,97.4609375
34,34.0,893246,84.58504611124842,3985,97.2900390625
35,35.0,888592,84.14434018633887,3980,97.16796875
36,36.0,886279,83.92531294003123,3973,96.9970703125
37,37.0,884020,83.71139917029107,3966,96.826171875
38,38.0,881827,83.50373520524454,3962,96.728515625
39,39.0,877344,83.07922195613206,3952,96.484375
40,40.0,875137,82.87023227493839,3945,96.3134765625
41,41.0,872875,82.6560344231667,3941,96.2158203125
42,42.0,868499,82.2416534331787,3931,95.9716796875
43,43.0,866318,82.03512579625826,3928,95.8984375
44,44.0,864219,81.83636306819957,3921,95.7275390625
45,45.0,862075,81.63333910966799,3916,95.60546875
46,46.0,857789,81.2274805806258,3907,95.3857421875
47,47.0,855690,81.02871785256711,3897,95.1416015625
48,48.0,853608,80.83156492268706,3886,94.873046875
49,49.0,851447,80.62693116597683,3885,94.8486328125
50,50.0,847167,80.22164080099769,3870,94.482421875
51,51.0,845006,80.01700704428745,3861,94.2626953125
52,52.0,842881,79.81578227195551,3853,94.0673828125
53,53.0,838625,79.4127645632286,3843,93.8232421875
54,54.0,836526,79.21400183516992,3831,93.5302734375
55,55.00000000000001,834306,79.00378113183963,3819,93.2373046875
56,56.00000000000001,832148,78.7994314571609,3811,93.0419921875
57,57.00000000000001,827826,78.3901639437404,3795,92.6513671875
58,57.99999999999999,825617,78.1809848745257,3789,92.5048828125
59,59.0,823462,77.9769192818785,3776,92.1875
60,60.0,821350,77.77692553168319,3770,92.041015625
61,61.0,816958,77.36102943752705,3743,91.3818359375
62,62.0,814819,77.15847894904799,3734,91.162109375
63,63.0,812632,76.9513831480645,3721,90.8447265625
64,64.0,808220,76.53359317369816,3698,90.283203125
65,65.0,805967,76.32024756802107,3694,90.185546875
66,66.0,803714,76.10690196234398,3680,89.84375
67,67.0,801362,75.88418164962648,3656,89.2578125
68,68.0,796614,75.43457448772908,3618,88.330078125
69,69.0,794277,75.21327458516922,3604,87.98828125
70,70.0,791865,74.98487263182116,3585,87.5244140625
71,71.0,786713,74.49700908967807,3552,86.71875
72,72.0,784206,74.25961120533165,3525,86.0595703125
73,73.0,781542,74.00734636133531,3508,85.64453125
74,74.0,778989,73.76559255250547,3489,85.1806640625
75,75.0,773606,73.25585469393475,3464,84.5703125
76,76.0,770803,72.99042738247763,3448,84.1796875
77,77.0,767958,72.72102292257912,3430,83.740234375
78,78.0,764929,72.43419476474693,3414,83.349609375
79,79.0,758757,71.84974333188453,3362,82.080078125
80,80.0,755499,71.54123024564574,3345,81.6650390625
81,81.0,752249,71.23347471149101,3321,81.0791015625
82,82.0,745428,70.58756686580817,3270,79.833984375
83,83.0,741749,70.23918760114503,3241,79.1259765625
84,84.0,738006,69.88474791980931,3207,78.2958984375
85,85.0,734087,69.513642092624,3178,77.587890625
86,86.0,725727,68.72200016476758,3101,75.7080078125
87,87.0,721120,68.28574485835196,3065,74.8291015625
88,88.0,716258,67.82534257925651,3039,74.1943359375
89,89.0,711166,67.34316067774398,2983,72.8271484375
90,90.0,699719,66.25919833944583,2892,70.60546875
91,91.0,693492,65.6695387360054,2851,69.6044921875
92,92.0,686737,65.02988069501616,2807,68.5302734375
93,93.0,670363,63.47936096693948,2691,65.6982421875
94,94.0,660579,62.55287476811804,2627,64.1357421875
95,95.0,649382,61.492585932447184,2550,62.255859375
96,96.0,636042,60.22936783225524,2449,59.7900390625
97,97.0,598921,56.71423146814541,2257,55.1025390625
98,98.0,569438,53.9223679563044,2105,51.3916015625
99,99.0,521895,49.42033061466829,1890,46.142578125
100,100.0,406432,38.48667607925131,1506,36.767578125
